DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHA>0,下日DSHA>1,下日DSHA>3,均HR,中位HR
屎,忑,下,201933,0.6,0.6,0.5,51.6,22.2,5.0,1.56,1.07
屎,忑,忐,421283,1.7,1.3,1.3,98.9,87.1,36.5,1.64,1.01
屎,忑,忠,654977,0.6,0.4,0.4,97.2,74.8,23.5,1.56,0.99
屎,忑,忑,2997237,0.2,0.1,0.1,50.7,24.0,5.5,1.55,1.06
尿,上,上,5816,86.7,84.7,79.7,91.9,81.4,44.1,1.84,0.98
尿,上,中,523,45.9,43.6,28.3,69.6,39.4,10.5,1.54,0.91
尿,上,下,557,24.6,20.8,13.3,52.4,25.5,5.6,1.43,1.05
尿,上,忐,1474,71.8,66.8,66.5,91.7,83.7,42.2,1.67,0.92
尿,上,忠,225,44.9,39.1,37.8,85.3,64.4,21.3,1.39,0.75
尿,上,忑,272,23.2,22.4,19.5,77.2,47.4,6.2,1.44,1.13
尿,中,上,61,63.9,29.5,29.5,32.8,16.4,4.9,0.45,0.0
尿,中,中,9,77.8,11.1,11.1,11.1,11.1,0.0,0.46,0.0
尿,中,下,211,34.6,16.1,11.8,30.8,12.8,1.4,0.71,0.4
尿,中,忐,292,66.1,44.2,44.2,90.1,78.8,32.5,1.59,0.84
尿,中,忠,270,50.4,30.7,30.7,73.3,55.2,17.8,1.22,0.55
尿,中,忑,478,29.1,16.3,15.5,57.9,32.8,3.8,1.1,0.69
尿,下,上,63,55.6,31.7,31.7,57.1,34.9,12.7,1.26,0.15
尿,下,中,20,20.0,10.0,10.0,35.0,0.0,0.0,0.38,0.0
尿,下,下,643,19.4,13.2,10.3,34.8,14.6,3.1,1.1,0.54
尿,下,忐,755,57.4,27.3,27.3,94.7,83.8,38.8,1.74,1.01
尿,下,忠,3368,23.4,8.8,8.8,92.2,75.0,27.3,1.56,0.95
尿,下,忑,29453,3.8,1.8,1.8,40.8,20.3,5.0,1.74,1.14
尿,忐,上,95762,49.9,49.8,49.1,98.7,91.1,54.0,2.03,1.23
尿,忐,中,5585,13.8,13.8,11.2,78.9,43.4,10.8,1.88,1.33
尿,忐,下,1075,7.1,7.1,6.0,61.6,31.4,7.4,1.8,1.29
尿,忐,忐,2316,56.9,56.2,56.1,97.3,92.2,57.1,1.99,1.14
尿,忐,忠,66,21.2,21.2,21.2,93.9,75.8,19.7,1.69,1.22
尿,忐,忑,149,10.1,10.1,9.4,87.2,56.4,14.8,1.79,1.21
尿,忠,上,161508,5.4,5.3,5.3,98.6,88.0,45.1,1.89,1.2
尿,忠,中,17852,1.7,1.7,1.7,78.6,42.6,10.6,1.89,1.3
尿,忠,下,5734,1.6,1.6,1.5,60.4,30.8,7.8,1.83,1.26
尿,忠,忐,11770,14.9,14.7,14.7,98.5,93.3,58.5,1.99,1.16
尿,忠,忠,385,4.4,4.4,4.4,95.3,75.6,21.3,1.61,1.02
尿,忠,忑,686,4.1,4.1,3.8,87.0,51.5,13.1,1.67,1.08
尿,忑,上,76788,1.6,1.3,1.3,97.2,79.7,32.8,1.8,1.17
尿,忑,中,14768,0.8,0.7,0.7,80.5,43.8,11.1,1.82,1.24
尿,忑,下,37734,0.9,0.8,0.8,53.3,25.1,6.3,1.72,1.19
尿,忑,忐,136083,2.9,2.2,2.2,99.0,89.7,44.8,1.84,1.14
尿,忑,忠,234528,0.8,0.5,0.5,97.4,79.6,30.7,1.77,1.12
尿,忑,忑,921600,0.2,0.1,0.1,51.7,27.5,7.5,1.84,1.25
