DXEF,DXCD,DXAB,市板,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHR>0,下日DSHR>1,下日DSHR>2,均HR,中位HR
金,忑,忐,Qin,31143,87.6,31.3,31.3,86.9,61.3,38.3,1.85,1.19
金,忑,忠,全量,34339,65.5,10.3,10.3,84.5,53.5,31.2,1.74,1.12
金,忑,忠,Qd,34339,65.5,10.3,10.3,84.8,37.5,14.8,1.74,1.12
金,忑,忠,Qe,34339,65.5,10.3,10.3,77.8,31.4,12.1,1.74,1.12
金,忑,忠,Qif,34339,65.5,10.3,10.3,81.8,54.9,33.4,1.74,1.12
金,忑,忠,Qic,34339,65.5,10.3,10.3,85.1,57.9,36.3,1.74,1.12
金,忑,忠,Qimit,34339,65.5,10.3,10.3,85.4,58.0,35.2,1.74,1.12
金,忑,忠,Qin,34339,65.5,10.3,10.3,85.7,57.7,35.3,1.74,1.12
金,忑,忑,全量,197633,23.3,3.2,3.1,86.6,56.6,32.1,1.79,1.22
金,忑,忑,Qd,197633,23.3,3.2,3.1,86.3,40.8,16.9,1.79,1.22
金,忑,忑,Qe,197633,23.3,3.2,3.1,81.8,37.5,15.4,1.79,1.22
金,忑,忑,Qif,197633,23.3,3.2,3.1,83.9,55.5,32.1,1.79,1.22
金,忑,忑,Qic,197633,23.3,3.2,3.1,85.8,58.9,34.4,1.79,1.22
金,忑,忑,Qimit,197633,23.3,3.2,3.1,87.5,60.3,35.5,1.79,1.22
金,忑,忑,Qin,197633,23.3,3.2,3.1,87.7,60.8,35.9,1.79,1.22
银,上,上,全量,801170,99.8,98.8,80.9,84.7,58.6,38.4,2.26,1.36
银,上,上,Qd,801170,99.8,98.8,80.9,86.0,33.9,13.0,2.26,1.36
银,上,上,Qe,801170,99.8,98.8,80.9,78.8,39.1,19.2,2.26,1.36
银,上,上,Qif,801170,99.8,98.8,80.9,83.4,59.1,38.0,2.26,1.36
银,上,上,Qic,801170,99.8,98.8,80.9,85.1,63.0,42.2,2.26,1.36
银,上,上,Qimit,801170,99.8,98.8,80.9,84.9,63.4,43.6,2.26,1.36
银,上,上,Qin,801170,99.8,98.8,80.9,85.7,64.0,43.7,2.26,1.36
银,上,中,全量,198140,99.1,95.1,28.8,87.3,60.6,36.8,2.03,1.39
银,上,中,Qd,198140,99.1,95.1,28.8,87.9,39.5,16.8,2.03,1.39
银,上,中,Qe,198140,99.1,95.1,28.8,81.0,42.4,20.2,2.03,1.39
银,上,中,Qif,198140,99.1,95.1,28.8,85.7,58.0,34.3,2.03,1.39
银,上,中,Qic,198140,99.1,95.1,28.8,88.0,63.9,39.3,2.03,1.39
银,上,中,Qimit,198140,99.1,95.1,28.8,87.7,64.8,41.0,2.03,1.39
银,上,中,Qin,198140,99.1,95.1,28.8,87.9,64.9,40.9,2.03,1.39
银,上,下,全量,127383,96.9,76.3,15.4,88.1,61.0,35.5,1.95,1.37
银,上,下,Qd,127383,96.9,76.3,15.4,88.4,35.3,12.8,1.95,1.37
银,上,下,Qe,127383,96.9,76.3,15.4,83.2,40.1,18.2,1.95,1.37
银,上,下,Qif,127383,96.9,76.3,15.4,87.0,58.8,33.0,1.95,1.37
银,上,下,Qic,127383,96.9,76.3,15.4,88.0,63.0,36.7,1.95,1.37
银,上,下,Qimit,127383,96.9,76.3,15.4,88.6,66.1,39.9,1.95,1.37
银,上,下,Qin,127383,96.9,76.3,15.4,88.6,66.0,40.4,1.95,1.37
银,上,忐,全量,31448,99.3,87.1,80.3,85.4,56.5,34.9,1.96,1.24
银,上,忐,Qd,31448,99.3,87.1,80.3,85.2,31.5,11.7,1.96,1.24
银,上,忐,Qe,31448,99.3,87.1,80.3,74.5,29.5,12.1,1.96,1.24
银,上,忐,Qif,31448,99.3,87.1,80.3,83.1,53.7,31.3,1.96,1.24
银,上,忐,Qic,31448,99.3,87.1,80.3,84.6,59.5,37.1,1.96,1.24
银,上,忐,Qimit,31448,99.3,87.1,80.3,86.5,61.8,39.9,1.96,1.24
银,上,忐,Qin,31448,99.3,87.1,80.3,86.7,62.5,40.3,1.96,1.24
银,上,忠,全量,12052,99.0,76.5,63.6,84.0,54.7,31.9,1.78,1.17
银,上,忠,Qd,12052,99.0,76.5,63.6,87.1,36.4,9.2,1.78,1.17
银,上,忠,Qe,12052,99.0,76.5,63.6,75.5,30.4,10.5,1.78,1.17
银,上,忠,Qif,12052,99.0,76.5,63.6,79.2,54.9,31.2,1.78,1.17
银,上,忠,Qic,12052,99.0,76.5,63.6,83.0,56.5,35.8,1.78,1.17
银,上,忠,Qimit,12052,99.0,76.5,63.6,85.1,59.7,36.6,1.78,1.17
银,上,忠,Qin,12052,99.0,76.5,63.6,85.1,59.7,37.7,1.78,1.17
银,上,忑,全量,52636,98.4,68.4,28.2,87.1,57.5,33.5,1.82,1.26
银,上,忑,Qd,52636,98.4,68.4,28.2,86.3,34.4,12.5,1.82,1.26
银,上,忑,Qe,52636,98.4,68.4,28.2,81.9,38.7,14.7,1.82,1.26
银,上,忑,Qif,52636,98.4,68.4,28.2,84.3,54.6,30.7,1.82,1.26
银,上,忑,Qic,52636,98.4,68.4,28.2,86.8,60.9,35.8,1.82,1.26
